"Step","PPO - eval/episode_success","PPO - eval/episode_success__MIN","PPO - eval/episode_success__MAX"
"10000","0.18","0.18","0.18"
"12000","0.18","0.18","0.18"
"14000","0.18","0.18","0.18"
"16000","0.22","0.22","0.22"
"18000","0.22","0.22","0.22"
"20000","0.12","0.12","0.12"
"22000","0.22","0.22","0.22"
"24000","0.16","0.16","0.16"
"26000","0.16","0.16","0.16"
"28000","0.12","0.12","0.12"
"30000","0.2","0.2","0.2"
"32000","0.2","0.2","0.2"
"34000","0.16","0.16","0.16"
"36000","0.14","0.14","0.14"
"38000","0.14","0.14","0.14"
"40000","0.08","0.08","0.08"
"42000","0.04","0.04","0.04"
"44000","0.18","0.18","0.18"
"46000","0.14","0.14","0.14"
"48000","0.24","0.24","0.24"
"50000","0.18","0.18","0.18"
"52000","0.14","0.14","0.14"
"54000","0.1","0.1","0.1"
"56000","0.16","0.16","0.16"
"58000","0.18","0.18","0.18"
"60000","0.12","0.12","0.12"
"62000","0.12","0.12","0.12"
"64000","0.18","0.18","0.18"
"66000","0.14","0.14","0.14"
"68000","0.12","0.12","0.12"
"70000","0.22","0.22","0.22"
"72000","0.12","0.12","0.12"
"74000","0.16","0.16","0.16"
"76000","0.1","0.1","0.1"
"78000","0.16","0.16","0.16"
"80000","0.22","0.22","0.22"
"82000","0.2","0.2","0.2"
"84000","0.16","0.16","0.16"
"86000","0.16","0.16","0.16"
"88000","0.12","0.12","0.12"
"90000","0.14","0.14","0.14"
"92000","0.16","0.16","0.16"
"94000","0.16","0.16","0.16"
"96000","0.1","0.1","0.1"
"98000","0.16","0.16","0.16"
"100000","0.24","0.24","0.24"
"102000","0.14","0.14","0.14"
"104000","0.14","0.14","0.14"
"106000","0.16","0.16","0.16"
"108000","0.2","0.2","0.2"
"110000","0.2","0.2","0.2"
"112000","0.16","0.16","0.16"
"114000","0.12","0.12","0.12"
"116000","0.16","0.16","0.16"
"118000","0.3","0.3","0.3"
"120000","0.1","0.1","0.1"
"122000","0.2","0.2","0.2"
"124000","0.12","0.12","0.12"
"126000","0.18","0.18","0.18"
"128000","0.18","0.18","0.18"
"130000","0.1","0.1","0.1"
"132000","0.2","0.2","0.2"
"134000","0.22","0.22","0.22"
"136000","0.12","0.12","0.12"
"138000","0.18","0.18","0.18"
"140000","0.3","0.3","0.3"
"142000","0.18","0.18","0.18"
"144000","0.14","0.14","0.14"
"146000","0.32","0.32","0.32"
"148000","0.2","0.2","0.2"
"150000","0.22","0.22","0.22"
"152000","0.18","0.18","0.18"
"154000","0.22","0.22","0.22"
"156000","0.2","0.2","0.2"
"158000","0.26","0.26","0.26"
"160000","0.18","0.18","0.18"
"162000","0.26","0.26","0.26"
"164000","0.12","0.12","0.12"
"166000","0.2","0.2","0.2"
"168000","0.32","0.32","0.32"
"170000","0.2","0.2","0.2"
"172000","0.28","0.28","0.28"
"174000","0.14","0.14","0.14"
"176000","0.14","0.14","0.14"
"178000","0.24","0.24","0.24"
"180000","0.24","0.24","0.24"
"182000","0.26","0.26","0.26"
"184000","0.18","0.18","0.18"
"186000","0.22","0.22","0.22"
"188000","0.18","0.18","0.18"
"190000","0.16","0.16","0.16"
"192000","0.16","0.16","0.16"
"194000","0.1","0.1","0.1"
"196000","0.2","0.2","0.2"
"198000","0.18","0.18","0.18"
"200000","0.18","0.18","0.18"
"202000","0.22","0.22","0.22"
"204000","0.16","0.16","0.16"
"206000","0.24","0.24","0.24"
"208000","0.16","0.16","0.16"
"210000","0.12","0.12","0.12"
"212000","0.22","0.22","0.22"
"214000","0.18","0.18","0.18"
"216000","0.22","0.22","0.22"
"218000","0.12","0.12","0.12"
"220000","0.28","0.28","0.28"
"222000","0.2","0.2","0.2"
"224000","0.26","0.26","0.26"
"226000","0.2","0.2","0.2"
"228000","0.22","0.22","0.22"
"230000","0.3","0.3","0.3"
"232000","0.26","0.26","0.26"
"234000","0.18","0.18","0.18"
"236000","0.24","0.24","0.24"
"238000","0.26","0.26","0.26"
"240000","0.18","0.18","0.18"
"242000","0.18","0.18","0.18"
"244000","0.2","0.2","0.2"
"246000","0.24","0.24","0.24"
"248000","0.2","0.2","0.2"
"250000","0.16","0.16","0.16"
"252000","0.2","0.2","0.2"
"254000","0.16","0.16","0.16"
"256000","0.18","0.18","0.18"
"258000","0.18","0.18","0.18"
"260000","0.26","0.26","0.26"
"262000","0.18","0.18","0.18"
"264000","0.1","0.1","0.1"
"266000","0.14","0.14","0.14"
"268000","0.1","0.1","0.1"
"270000","0.1","0.1","0.1"
"272000","0.24","0.24","0.24"
"274000","0.16","0.16","0.16"
"276000","0.26","0.26","0.26"
"278000","0.18","0.18","0.18"
"280000","0.18","0.18","0.18"
"282000","0.22","0.22","0.22"
"284000","0.24","0.24","0.24"
"286000","0.2","0.2","0.2"
"288000","0.12","0.12","0.12"
"290000","0.2","0.2","0.2"
"292000","0.24","0.24","0.24"
"294000","0.12","0.12","0.12"
"296000","0.04","0.04","0.04"
"298000","0.22","0.22","0.22"
"300000","0.14","0.14","0.14"
"302000","0.16","0.16","0.16"
"304000","0.12","0.12","0.12"
"306000","0.22","0.22","0.22"
"308000","0.2","0.2","0.2"
"310000","0.18","0.18","0.18"
"312000","0.22","0.22","0.22"
"314000","0.18","0.18","0.18"
"316000","0.14","0.14","0.14"
"318000","0.14","0.14","0.14"
"320000","0.16","0.16","0.16"
"322000","0.14","0.14","0.14"
"324000","0.12","0.12","0.12"
"326000","0.22","0.22","0.22"
"328000","0.08","0.08","0.08"
"330000","0.1","0.1","0.1"
"332000","0.28","0.28","0.28"
"334000","0.16","0.16","0.16"
"336000","0.18","0.18","0.18"
"338000","0.2","0.2","0.2"
"340000","0.22","0.22","0.22"
"342000","0.14","0.14","0.14"
"344000","0.18","0.18","0.18"
"346000","0.12","0.12","0.12"
"348000","0.2","0.2","0.2"
"350000","0.22","0.22","0.22"
"352000","0.22","0.22","0.22"
"354000","0.16","0.16","0.16"
"356000","0.16","0.16","0.16"
"358000","0.16","0.16","0.16"
"360000","0.24","0.24","0.24"
"362000","0.1","0.1","0.1"
"364000","0.22","0.22","0.22"
"366000","0.22","0.22","0.22"
"368000","0.14","0.14","0.14"
"370000","0.1","0.1","0.1"
"372000","0.2","0.2","0.2"
"374000","0.2","0.2","0.2"
"376000","0.26","0.26","0.26"
"378000","0.18","0.18","0.18"
"380000","0.16","0.16","0.16"
"382000","0.12","0.12","0.12"
"384000","0.2","0.2","0.2"
"386000","0.08","0.08","0.08"
"388000","0.1","0.1","0.1"
"390000","0.16","0.16","0.16"
"392000","0.24","0.24","0.24"
"394000","0.2","0.2","0.2"
"396000","0.18","0.18","0.18"
"398000","0.12","0.12","0.12"
"400000","0.22","0.22","0.22"
"402000","0.16","0.16","0.16"
"404000","0.12","0.12","0.12"
"406000","0.24","0.24","0.24"
"408000","0.12","0.12","0.12"
"410000","0.18","0.18","0.18"
"412000","0.14","0.14","0.14"
"414000","0.16","0.16","0.16"
"416000","0.16","0.16","0.16"
"418000","0.2","0.2","0.2"
"420000","0.1","0.1","0.1"
"422000","0.08","0.08","0.08"
"424000","0.24","0.24","0.24"
"426000","0.18","0.18","0.18"
"428000","0.16","0.16","0.16"
"430000","0.18","0.18","0.18"
"432000","0.16","0.16","0.16"
"434000","0.18","0.18","0.18"
"436000","0.14","0.14","0.14"
"438000","0.22","0.22","0.22"
"440000","0.26","0.26","0.26"
"442000","0.18","0.18","0.18"
"444000","0.14","0.14","0.14"
"446000","0.1","0.1","0.1"
"448000","0.16","0.16","0.16"
"450000","0.26","0.26","0.26"
"452000","0.16","0.16","0.16"
"454000","0.32","0.32","0.32"
"456000","0.18","0.18","0.18"
"458000","0.16","0.16","0.16"
"460000","0.08","0.08","0.08"
"462000","0.12","0.12","0.12"
"464000","0.22","0.22","0.22"
"466000","0.22","0.22","0.22"
"468000","0.22","0.22","0.22"
"470000","0.28","0.28","0.28"
"472000","0.22","0.22","0.22"
"474000","0.22","0.22","0.22"
"476000","0.14","0.14","0.14"
"478000","0.26","0.26","0.26"
"480000","0.22","0.22","0.22"
"482000","0.18","0.18","0.18"
"484000","0.2","0.2","0.2"
"486000","0.34","0.34","0.34"
"488000","0.26","0.26","0.26"
"490000","0.14","0.14","0.14"
"492000","0.18","0.18","0.18"
"494000","0.18","0.18","0.18"
"496000","0.14","0.14","0.14"
"498000","0.16","0.16","0.16"
"500000","0.18","0.18","0.18"
"502000","0.14","0.14","0.14"
"504000","0.18","0.18","0.18"
"506000","0.14","0.14","0.14"
"508000","0.14","0.14","0.14"
"510000","0.18","0.18","0.18"
"512000","0.22","0.22","0.22"
"514000","0.14","0.14","0.14"
"516000","0.32","0.32","0.32"
"518000","0.2","0.2","0.2"
"520000","0.1","0.1","0.1"
"522000","0.02","0.02","0.02"
"524000","0.16","0.16","0.16"
"526000","0.24","0.24","0.24"
"528000","0.16","0.16","0.16"
"530000","0.2","0.2","0.2"
"532000","0.22","0.22","0.22"
"534000","0.2","0.2","0.2"
"536000","0.32","0.32","0.32"
"538000","0.16","0.16","0.16"
"540000","0.14","0.14","0.14"
"542000","0.12","0.12","0.12"
"544000","0.08","0.08","0.08"
"546000","0.16","0.16","0.16"
"548000","0.2","0.2","0.2"
"550000","0.08","0.08","0.08"
"552000","0.26","0.26","0.26"
"554000","0.2","0.2","0.2"
"556000","0.2","0.2","0.2"
"558000","0.1","0.1","0.1"
"560000","0.2","0.2","0.2"
"562000","0.14","0.14","0.14"
"564000","0.22","0.22","0.22"
"566000","0.18","0.18","0.18"
"568000","0.08","0.08","0.08"
"570000","0.16","0.16","0.16"
"572000","0.24","0.24","0.24"
"574000","0.14","0.14","0.14"
"576000","0.16","0.16","0.16"
"578000","0.32","0.32","0.32"
"580000","0.14","0.14","0.14"
"582000","0.16","0.16","0.16"
"584000","0.16","0.16","0.16"
"586000","0.16","0.16","0.16"
"588000","0.18","0.18","0.18"
"590000","0.26","0.26","0.26"
"592000","0.1","0.1","0.1"
"594000","0.26","0.26","0.26"
"596000","0.1","0.1","0.1"
"598000","0.18","0.18","0.18"
"600000","0.14","0.14","0.14"
"602000","0.18","0.18","0.18"
"604000","0.12","0.12","0.12"
"606000","0.1","0.1","0.1"
"608000","0.22","0.22","0.22"
"610000","0.2","0.2","0.2"
"612000","0.2","0.2","0.2"
"614000","0.18","0.18","0.18"
"616000","0.2","0.2","0.2"
"618000","0.22","0.22","0.22"
"620000","0.18","0.18","0.18"
"622000","0.22","0.22","0.22"
"624000","0.12","0.12","0.12"
"626000","0.2","0.2","0.2"
"628000","0.22","0.22","0.22"
"630000","0.22","0.22","0.22"
"632000","0.24","0.24","0.24"
"634000","0.24","0.24","0.24"
"636000","0.22","0.22","0.22"
"638000","0.12","0.12","0.12"
"640000","0.24","0.24","0.24"
"642000","0.1","0.1","0.1"
"644000","0.1","0.1","0.1"
"646000","0.08","0.08","0.08"
"648000","0.2","0.2","0.2"
"650000","0.26","0.26","0.26"
"652000","0.28","0.28","0.28"
"654000","0.2","0.2","0.2"
"656000","0.14","0.14","0.14"
"658000","0.16","0.16","0.16"
"660000","0.2","0.2","0.2"
"662000","0.1","0.1","0.1"
"664000","0.1","0.1","0.1"
"666000","0.08","0.08","0.08"
"668000","0.06","0.06","0.06"
"670000","0.2","0.2","0.2"
"672000","0.12","0.12","0.12"
"674000","0.16","0.16","0.16"
"676000","0.2","0.2","0.2"
"678000","0.14","0.14","0.14"
"680000","0.2","0.2","0.2"
"682000","0.16","0.16","0.16"
"684000","0.14","0.14","0.14"
"686000","0.2","0.2","0.2"
"688000","0.18","0.18","0.18"
"690000","0.08","0.08","0.08"
"692000","0.24","0.24","0.24"
"694000","0.14","0.14","0.14"
"696000","0.18","0.18","0.18"
"698000","0.26","0.26","0.26"
"700000","0.16","0.16","0.16"
"702000","0.18","0.18","0.18"
"704000","0.14","0.14","0.14"
"706000","0.2","0.2","0.2"
"708000","0.16","0.16","0.16"
"710000","0.14","0.14","0.14"
"712000","0.14","0.14","0.14"
"714000","0.16","0.16","0.16"
"716000","0.2","0.2","0.2"
"718000","0.2","0.2","0.2"
"720000","0.18","0.18","0.18"
"722000","0.16","0.16","0.16"
"724000","0.18","0.18","0.18"
"726000","0.26","0.26","0.26"
"728000","0.24","0.24","0.24"
"730000","0.14","0.14","0.14"
"732000","0.2","0.2","0.2"
"734000","0.16","0.16","0.16"
"736000","0.18","0.18","0.18"
"738000","0.16","0.16","0.16"
"740000","0.24","0.24","0.24"
"742000","0.32","0.32","0.32"
"744000","0.2","0.2","0.2"
"746000","0.24","0.24","0.24"
"748000","0.2","0.2","0.2"
"750000","0.2","0.2","0.2"
"752000","0.2","0.2","0.2"
"754000","0.14","0.14","0.14"
"756000","0.22","0.22","0.22"
"758000","0.2","0.2","0.2"
"760000","0.22","0.22","0.22"
"762000","0.18","0.18","0.18"
"764000","0.22","0.22","0.22"
"766000","0.1","0.1","0.1"
"768000","0.22","0.22","0.22"
"770000","0.22","0.22","0.22"
"772000","0.24","0.24","0.24"
"774000","0.24","0.24","0.24"
"776000","0.22","0.22","0.22"
"778000","0.22","0.22","0.22"
"780000","0.24","0.24","0.24"
"782000","0.22","0.22","0.22"
"784000","0.18","0.18","0.18"
"786000","0.22","0.22","0.22"
"788000","0.16","0.16","0.16"
"790000","0.16","0.16","0.16"
"792000","0.22","0.22","0.22"
"794000","0.14","0.14","0.14"
"796000","0.22","0.22","0.22"
"798000","0.18","0.18","0.18"
"800000","0.24","0.24","0.24"
"802000","0.16","0.16","0.16"
"804000","0.26","0.26","0.26"
"806000","0.04","0.04","0.04"
"808000","0.2","0.2","0.2"
"810000","0.32","0.32","0.32"
"812000","0.18","0.18","0.18"
"814000","0.22","0.22","0.22"
"816000","0.3","0.3","0.3"
"818000","0.22","0.22","0.22"
"820000","0.22","0.22","0.22"
"822000","0.14","0.14","0.14"
"824000","0.22","0.22","0.22"
"826000","0.2","0.2","0.2"
"828000","0.18","0.18","0.18"
"830000","0.24","0.24","0.24"
"832000","0.28","0.28","0.28"
"834000","0.24","0.24","0.24"
"836000","0.16","0.16","0.16"
"838000","0.26","0.26","0.26"
"840000","0.2","0.2","0.2"
"842000","0.1","0.1","0.1"
"844000","0.26","0.26","0.26"
"846000","0.2","0.2","0.2"
"848000","0.2","0.2","0.2"
"850000","0.34","0.34","0.34"
"852000","0.38","0.38","0.38"
"854000","0.2","0.2","0.2"
"856000","0.16","0.16","0.16"
"858000","0.24","0.24","0.24"
"860000","0.06","0.06","0.06"
"862000","0.1","0.1","0.1"
"864000","0.18","0.18","0.18"
"866000","0.14","0.14","0.14"
"868000","0.18","0.18","0.18"
"870000","0.24","0.24","0.24"
"872000","0.18","0.18","0.18"
"874000","0.18","0.18","0.18"
"876000","0.22","0.22","0.22"
"878000","0.28","0.28","0.28"
"880000","0.22","0.22","0.22"
"882000","0.3","0.3","0.3"
"884000","0.22","0.22","0.22"
"886000","0.22","0.22","0.22"
"888000","0.28","0.28","0.28"
"890000","0.18","0.18","0.18"
"892000","0.24","0.24","0.24"
"894000","0.18","0.18","0.18"
"896000","0.22","0.22","0.22"
"898000","0.28","0.28","0.28"
"900000","0.2","0.2","0.2"
"902000","0.22","0.22","0.22"
"904000","0.24","0.24","0.24"
"906000","0.32","0.32","0.32"
"908000","0.22","0.22","0.22"
"910000","0.1","0.1","0.1"
"912000","0.16","0.16","0.16"
"914000","0.18","0.18","0.18"
"916000","0.24","0.24","0.24"
"918000","0.18","0.18","0.18"
"920000","0.22","0.22","0.22"
"922000","0.28","0.28","0.28"
"924000","0.16","0.16","0.16"
"926000","0.28","0.28","0.28"
"928000","0.14","0.14","0.14"
"930000","0.26","0.26","0.26"
"932000","0.28","0.28","0.28"
"934000","0.26","0.26","0.26"
"936000","0.18","0.18","0.18"
"938000","0.18","0.18","0.18"
"940000","0.28","0.28","0.28"
"942000","0.26","0.26","0.26"
"944000","0.26","0.26","0.26"
"946000","0.28","0.28","0.28"
"948000","0.24","0.24","0.24"
"950000","0.3","0.3","0.3"
"952000","0.36","0.36","0.36"
"954000","0.24","0.24","0.24"
"956000","0.1","0.1","0.1"
"958000","0.2","0.2","0.2"
"960000","0.22","0.22","0.22"
"962000","0.26","0.26","0.26"
"964000","0.32","0.32","0.32"
"966000","0.14","0.14","0.14"
"968000","0.22","0.22","0.22"
"970000","0.2","0.2","0.2"
"972000","0.26","0.26","0.26"
"974000","0.3","0.3","0.3"
"976000","0.24","0.24","0.24"
"978000","0.2","0.2","0.2"
"980000","0.3","0.3","0.3"
"982000","0.22","0.22","0.22"
"984000","0.24","0.24","0.24"
"986000","0.16","0.16","0.16"
"988000","0.28","0.28","0.28"
"990000","0.16","0.16","0.16"
"992000","0.1","0.1","0.1"
"994000","0.24","0.24","0.24"
"996000","0.2","0.2","0.2"
"998000","0.26","0.26","0.26"