"Step","AC_UTD1 - eval/episode_success","AC_UTD1 - eval/episode_success__MIN","AC_UTD1 - eval/episode_success__MAX"
"2000","0.06","0.06","0.06"
"4000","0.1","0.1","0.1"
"6000","0.16","0.16","0.16"
"8000","0.12","0.12","0.12"
"10000","0.16","0.16","0.16"
"12000","0.3","0.3","0.3"
"14000","0.36","0.36","0.36"
"16000","0.34","0.34","0.34"
"18000","0.48","0.48","0.48"
"20000","0.64","0.64","0.64"
"22000","0.46","0.46","0.46"
"24000","0.62","0.62","0.62"
"26000","0.54","0.54","0.54"
"28000","0.46","0.46","0.46"
"30000","0.66","0.66","0.66"
"32000","0.62","0.62","0.62"
"34000","0.78","0.78","0.78"
"36000","0.66","0.66","0.66"
"38000","0.66","0.66","0.66"
"40000","0.66","0.66","0.66"
"42000","0.74","0.74","0.74"
"44000","1","1","1"
"46000","1","1","1"
"48000","0.98","0.98","0.98"
"50000","1","1","1"
"52000","0.96","0.96","0.96"
"54000","1","1","1"
"56000","0.98","0.98","0.98"
"58000","1","1","1"
"60000","0.98","0.98","0.98"
"62000","0.98","0.98","0.98"
"64000","1","1","1"
"66000","0.98","0.98","0.98"
"68000","1","1","1"
"70000","1","1","1"
"72000","1","1","1"
"74000","1","1","1"
"76000","1","1","1"
"78000","1","1","1"
"80000","1","1","1"
"82000","1","1","1"
"84000","1","1","1"
"86000","1","1","1"
"88000","1","1","1"
"90000","1","1","1"
"92000","1","1","1"
"94000","0.98","0.98","0.98"
"96000","1","1","1"
"98000","0.98","0.98","0.98"
"100000","1","1","1"
"102000","1","1","1"
"104000","1","1","1"
"106000","0.98","0.98","0.98"
"108000","1","1","1"
"110000","1","1","1"
"112000","1","1","1"
"114000","1","1","1"
"116000","1","1","1"
"118000","1","1","1"
"120000","1","1","1"
"122000","1","1","1"
"124000","0.98","0.98","0.98"
"126000","1","1","1"
"128000","0.96","0.96","0.96"
"130000","1","1","1"
"132000","1","1","1"
"134000","1","1","1"
"136000","1","1","1"
"138000","1","1","1"
"140000","1","1","1"
"142000","1","1","1"
"144000","0.98","0.98","0.98"
"146000","1","1","1"
"148000","1","1","1"
"150000","0.98","0.98","0.98"
"152000","1","1","1"
"154000","1","1","1"
"156000","0.98","0.98","0.98"
"158000","0.98","0.98","0.98"
"160000","0.96","0.96","0.96"
"162000","0.94","0.94","0.94"
"164000","0.94","0.94","0.94"
"166000","1","1","1"
"168000","0.94","0.94","0.94"
"170000","0.98","0.98","0.98"
"172000","0.78","0.78","0.78"
"174000","0.92","0.92","0.92"